filename,oc_number,title,date,category,supersedes,superseded_by,local_path
UPI-_-OC-No_-100B-_-FY-2026-27-Addendum-to-Mandatory-Brand-Guidelines-for-BHIM-UPI-Merchant-QR.pdf,100B,UPI OC No 100B FY 2026 27 Addendum to Mandatory Brand Guidelines for BHIM UPI Merchant QR,FY 2026-27,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-100B-_-FY-2026-27-Addendum-to-Mandatory-Brand-Guidelines-for-BHIM-UPI-Merchant-QR.pdf
UPI-_-OC-No_-101-A-_-FY-2025-26-_-Strengthening-beneficiary-name-verification-and-display-during-UPI-transactions.pdf,101A,UPI OC No 101 A FY 2025 26 Strengthening beneficiary name verification and display during UPI transactions,FY 2025-26,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-101-A-_-FY-2025-26-_-Strengthening-beneficiary-name-verification-and-display-during-UPI-transactions.pdf
UPI-_-OC-No_-115-E-_-FY-2024-25-_-Addendum-to-circular-on-the-Numeric-UPI-ID-resolution.pdf,115E,UPI OC No 115 E FY 2024 25 Addendum to circular on the Numeric UPI ID resolution,FY 2024-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-115-E-_-FY-2024-25-_-Addendum-to-circular-on-the-Numeric-UPI-ID-resolution.pdf
UPI-_-OC-No_-138-B-_-FY-2024-25-_-Addendum-to-Introduction-of-UPI-LITE.pdf,138B,UPI OC No 138 B FY 2024 25 Addendum to Introduction of UPI LITE,FY 2024-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-138-B-_-FY-2024-25-_-Addendum-to-Introduction-of-UPI-LITE.pdf
UPI-_-OC-No_-141-D-_-FY-2024-25-_-Compliance-Addendum-to-OC-141-series.pdf,141D,UPI OC No 141 D FY 2024 25 Compliance Addendum to OC 141 series,FY 2024-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-141-D-_-FY-2024-25-_-Compliance-Addendum-to-OC-141-series.pdf
UPI-_-OC-No_-169-A-_-FY-2024-25-_-Addendum-to-Enhancement-in-UPI-LITE-Limits.pdf,169A,UPI OC No 169 A FY 2024 25 Addendum to Enhancement in UPI LITE Limits,FY 2024-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-169-A-_-FY-2024-25-_-Addendum-to-Enhancement-in-UPI-LITE-Limits.pdf
UPI-_-OC-No_-170-B-_-FY-24-25-–-Addendum-to-RBI-Digital-Rupee---CBDC-and-UPI-Interoperability_.pdf,170B,UPI OC No 170 B FY 24 25 – Addendum to RBI Digital Rupee CBDC and UPI Interoperability,FY 24-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-170-B-_-FY-24-25-–-Addendum-to-RBI-Digital-Rupee---CBDC-and-UPI-Interoperability_.pdf
UPI-_-OC-No_-171-A-_-FY-2025-26-_-Addendum-to-OC---171-Operating-Circular-for-Pre-Sanctioned-Credit-Lines-at-Banks-through-UPI.pdf,171A,UPI OC No 171 A FY 2025 26 Addendum to OC 171 Operating Circular for Pre Sanctioned Credit Lines at Banks through UPI,FY 2025-26,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-171-A-_-FY-2025-26-_-Addendum-to-OC---171-Operating-Circular-for-Pre-Sanctioned-Credit-Lines-at-Banks-through-UPI.pdf
UPI-_-OC-No_-173-_-FY-23-24-_-Launch-of-Foreign-Inward-Remittances-(FIR)-through-UPI-Direct-Platform.pdf,173,UPI OC No 173 FY 23 24 Launch of Foreign Inward Remittances (FIR) through UPI Direct Platform,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-173-_-FY-23-24-_-Launch-of-Foreign-Inward-Remittances-(FIR)-through-UPI-Direct-Platform.pdf
"UPI-_-OC-No_-177-_-FY-23-24-_-UPI-Global-Acceptance-limits,-launch-of-Reverse-Acceptance-and-Country-code-enablement.pdf",177,"UPI OC No 177 FY 23 24 UPI Global Acceptance limits, launch of Reverse Acceptance and Country code enablement",FY 23-24,UPI,,,"Data/raw_pdfs/upi/UPI-_-OC-No_-177-_-FY-23-24-_-UPI-Global-Acceptance-limits,-launch-of-Reverse-Acceptance-and-Country-code-enablement.pdf"
UPI-_-OC-No_-177A-_-FY-2026-27-_-Addendum-to-UPI-Global-Acceptance-Limits-and-Country-Code-Enablement.pdf,177A,UPI OC No 177A FY 2026 27 Addendum to UPI Global Acceptance Limits and Country Code Enablement,FY 2026-27,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-177A-_-FY-2026-27-_-Addendum-to-UPI-Global-Acceptance-Limits-and-Country-Code-Enablement.pdf
UPI-_-OC-No_-181-B-_-FY-24-25-–-Addendum-to-OC-181-A-–Implementation-of-UPI-Limits-for-P2P-transactions_.pdf,181B,UPI OC No 181 B FY 24 25 – Addendum to OC 181 A –Implementation of UPI Limits for P2P transactions,FY 24-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-181-B-_-FY-24-25-–-Addendum-to-OC-181-A-–Implementation-of-UPI-Limits-for-P2P-transactions_.pdf
UPI-_-OC-No_-184-A-_-FY-2024-25-_-Addendum-to-OC-184-Modification-in-UPI-chargeback-rules-and-procedures.pdf,184A,UPI OC No 184 A FY 2024 25 Addendum to OC 184 Modification in UPI chargeback rules and procedures,FY 2024-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-184-A-_-FY-2024-25-_-Addendum-to-OC-184-Modification-in-UPI-chargeback-rules-and-procedures.pdf
UPI-_-OC-No_-184-B-_-FY-2025-26-_-Addendum-to-OC-–-184-Modification-in-UPI-chargeback-rules-and-procedures.pdf,184B,UPI OC No 184 B FY 2025 26 Addendum to OC – 184 Modification in UPI chargeback rules and procedures,FY 2025-26,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-No_-184-B-_-FY-2025-26-_-Addendum-to-OC-–-184-Modification-in-UPI-chargeback-rules-and-procedures.pdf
